p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season,injury_rate,minutes_per_game,experience_years,bmi_class
aaronconnolly,2019,13,161,1312.0,24,28,2148.0,41,2000-01-28,175.33333333333334,75.66666666666667,Republic of Ireland,Medium/Low,72.33333333333333,58.0,63.0,Forward,19,,,,,,24.613627492084603,2.5,2.0,,,,3.8333333333333335,52.48,19,Normal
aaronconnolly,2020,71,161,836.0,17,28,2148.0,41,2000-01-28,175.33333333333334,75.66666666666667,Republic of Ireland,Medium/Low,72.33333333333333,58.0,63.0,Forward,20,1312.0,24.0,54.66666666666666,13.0,24.0,24.613627492084603,2.5,2.0,0.0,161.0,13.0,3.8333333333333335,46.44444444444444,20,Normal
aaroncresswell,2016,95,226,2247.0,26,27,13368.0,149,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender,27,,,,,,22.396078801018007,3.5,1.0,,,,1.5066666666666666,83.22222222222223,27,Normal
aaroncresswell,2018,87,226,1680.0,20,27,13368.0,149,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender,29,2247.0,26.0,86.42307692307692,95.0,26.0,22.396078801018007,3.5,1.0,0.0,226.0,95.0,1.5066666666666666,80.0,29,Normal
aaroncresswell,2019,35,226,2870.0,31,31,13368.0,149,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender,30,3927.0,46.0,85.3695652173913,91.0,23.0,22.396078801018007,3.5,1.0,0.0,452.0,87.0,1.5066666666666666,89.6875,30,Normal
aaroncresswell,2020,9,226,3342.0,36,36,13368.0,149,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender,31,6797.0,77.0,88.27272727272727,72.33333333333333,25.666666666666668,22.396078801018007,3.5,1.0,0.0,678.0,35.0,1.5066666666666666,90.32432432432432,31,Normal
aaronlennon,2017,33,199,1996.0,29,29,4371.0,72,1987-04-16,165.0,63.0,England,High/High,81.8,59.2,75.8,Midfielder,30,,,,,,23.1404958677686,4.0,3.0,,,,2.7260273972602738,66.53333333333333,30,Normal
aaronlennon,2018,166,199,1279.0,16,16,4371.0,72,1987-04-16,165.0,63.0,England,High/High,81.8,59.2,75.8,Midfielder,31,1996.0,29.0,68.82758620689656,33.0,29.0,23.1404958677686,4.0,3.0,0.0,199.0,33.0,2.7260273972602738,75.23529411764706,31,Normal
aaronmooy,2017,26,130,3226.0,36,36,7942.0,96,1990-09-15,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder,27,,,,,,24.102609829121494,3.0,3.0,,,,1.3402061855670102,87.1891891891892,27,Normal
aaronmooy,2018,89,130,2467.0,29,29,7942.0,96,1990-09-15,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder,28,3226.0,36.0,89.61111111111111,26.0,36.0,24.102609829121494,3.0,3.0,0.0,130.0,26.0,1.3402061855670102,82.23333333333333,28,Normal
aaronmooy,2019,15,130,2249.0,31,36,7942.0,96,1990-09-15,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder,29,5693.0,65.0,87.58461538461539,57.5,32.5,24.102609829121494,3.0,3.0,0.0,260.0,89.0,1.3402061855670102,70.28125,29,Normal
aaronramsdale,2019,11,11,3515.0,37,37,7125.0,75,1998-05-14,188.0,77.0,England,Medium/Medium,,,65.0,Goalkeeper,21,,,,,,21.785875961973744,3.0,0.0,,,,0.14473684210526316,92.5,21,Normal
aaronramsey,2016,122,436,1329.0,23,24,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,26,,,,,,22.587833094227893,4.0,3.0,,,,5.7368421052631575,55.375,26,Normal
aaronramsey,2016,122,436,1329.0,23,24,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,26,1329.0,23.0,57.78260869565217,122.0,23.0,22.587833094227893,4.0,3.0,1.0,436.0,122.0,5.7368421052631575,55.375,26,Normal
aaronramsey,2017,44,436,1945.0,24,24,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,27,2658.0,46.0,57.78260869565217,122.0,23.0,22.587833094227893,4.0,3.0,1.0,872.0,122.0,5.7368421052631575,77.8,27,Normal
aaronramsey,2017,44,436,1945.0,24,24,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,27,4603.0,70.0,65.75714285714285,96.0,23.33333333333333,22.587833094227893,4.0,3.0,0.0,1308.0,44.0,5.7368421052631575,77.8,27,Normal
aaronramsey,2018,157,436,1418.0,28,31,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,28,6548.0,94.0,69.65957446808511,83.0,23.5,22.587833094227893,4.0,3.0,0.0,1744.0,44.0,5.7368421052631575,48.89655172413793,28,Normal
aaronramsey,2018,157,436,1418.0,28,31,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,28,7966.0,122.0,65.29508196721312,97.8,24.4,22.587833094227893,4.0,3.0,1.0,2180.0,157.0,5.7368421052631575,48.89655172413793,28,Normal
abdelhamidsabiri,2018,95,178,48.0,2,2,282.0,7,1996-11-28,186.0,80.0,Germany,Medium/Medium,70.75,64.0,65.0,Midfielder,22,,,,,,23.12406058503873,3.0,3.0,,,,22.25,16.0,22,Normal
aboubakarkamara,2018,42,124,745.0,13,17,1102.0,24,1995-03-07,177.0,78.5,France,High/Medium,75.83333333333333,67.33333333333333,67.33333333333333,Forward,23,,,,,,25.056656771681187,3.5,2.0,,,,4.96,53.214285714285715,23,Overweight
adamfederici,2016,157,365,190.0,2,22,190.0,2,1985-01-31,188.0,90.0,Australia,Medium/Medium,,,72.0,Goalkeeper,31,,,,,,25.46401086464464,3.0,0.0,,,,121.66666666666667,63.333333333333336,31,Overweight
adamidah,2019,28,194,273.0,12,17,273.0,12,2001-02-11,190.0,83.0,Republic of Ireland,High/Medium,74.5,63.0,64.0,Forward,18,,,,,,22.99168975069252,3.5,2.0,,,,14.923076923076923,21.0,18,Normal
adamlallana,2016,63,413,2425.0,31,31,5339.0,101,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,28,,,,,,23.836734693877556,4.0,3.0,,,,4.049019607843137,75.78125,28,Normal
adamlallana,2017,160,413,285.0,12,14,5339.0,101,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,29,2425.0,31.0,78.2258064516129,63.0,31.0,23.836734693877556,4.0,3.0,0.0,413.0,63.0,4.049019607843137,21.923076923076923,29,Normal
adamlallana,2018,142,413,505.0,13,24,5339.0,101,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,30,2710.0,43.0,63.02325581395349,111.5,21.5,23.836734693877556,4.0,3.0,1.0,826.0,160.0,4.049019607843137,36.07142857142857,30,Normal
adamlallana,2020,48,413,1693.0,30,31,5339.0,101,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,32,3215.0,56.0,57.410714285714285,121.66666666666669,18.666666666666668,23.836734693877556,4.0,3.0,1.0,1239.0,142.0,4.049019607843137,54.61290322580645,32,Normal
adamsmith,2017,49,270,2194.0,27,28,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Defender,26,,,,,,24.382716049382715,3.5,1.0,,,,2.3893805309734515,78.35714285714286,26,Normal
adamsmith,2017,49,270,2194.0,27,28,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Goalkeeper,26,2194.0,27.0,81.25925925925925,49.0,27.0,24.382716049382715,3.5,0.0,0.0,270.0,49.0,2.3893805309734515,78.35714285714286,26,Normal
adamsmith,2017,49,270,2194.0,27,28,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Defender,25,4388.0,54.0,81.25925925925925,49.0,27.0,20.146806903792665,3.0,1.0,0.0,540.0,49.0,2.3893805309734515,78.35714285714286,25,Normal
adamsmith,2017,49,270,2194.0,27,28,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Goalkeeper,25,6582.0,81.0,81.25925925925925,49.0,27.0,20.146806903792665,3.0,0.0,0.0,810.0,49.0,2.3893805309734515,78.35714285714286,25,Normal
adamsmith,2018,107,270,2200.0,25,25,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Defender,27,8776.0,108.0,81.25925925925925,49.0,27.0,24.382716049382715,3.5,1.0,0.0,1080.0,49.0,2.3893805309734515,84.61538461538461,27,Normal
adamsmith,2018,107,270,2200.0,25,25,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Goalkeeper,27,10976.0,133.0,82.52631578947368,60.6,26.6,24.382716049382715,3.5,0.0,0.0,1350.0,107.0,2.3893805309734515,84.61538461538461,27,Normal
adamsmith,2018,107,270,2200.0,25,25,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Defender,26,13176.0,158.0,83.39240506329114,68.33333333333333,26.33333333333333,20.146806903792665,3.0,1.0,0.0,1620.0,107.0,2.3893805309734515,84.61538461538461,26,Normal
adamsmith,2018,107,270,2200.0,25,25,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Goalkeeper,26,15376.0,183.0,84.02185792349727,73.85714285714286,26.142857142857142,20.146806903792665,3.0,0.0,0.0,1890.0,107.0,2.3893805309734515,84.61538461538461,26,Normal
adamsmith,2019,93,270,2155.0,24,24,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Defender,28,17576.0,208.0,84.5,78.0,26.0,24.382716049382715,3.5,1.0,0.0,2160.0,107.0,2.3893805309734515,86.2,28,Normal
adamsmith,2019,93,270,2155.0,24,24,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Goalkeeper,28,19731.0,232.0,85.04741379310344,79.66666666666667,25.77777777777778,24.382716049382715,3.5,0.0,0.0,2430.0,93.0,2.3893805309734515,86.2,28,Normal
adamsmith,2019,93,270,2155.0,24,24,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Defender,27,21886.0,256.0,85.4921875,81.0,25.6,20.146806903792665,3.0,1.0,0.0,2700.0,93.0,2.3893805309734515,86.2,27,Normal
adamsmith,2019,93,270,2155.0,24,24,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Goalkeeper,27,24041.0,280.0,85.86071428571428,82.0909090909091,25.454545454545453,20.146806903792665,3.0,0.0,0.0,2970.0,93.0,2.3893805309734515,86.2,27,Normal
adamwebster,2019,31,489,2815.0,31,36,5550.0,60,1995-01-04,190.0,75.0,England,Medium/Medium,66.0,70.83333333333333,70.0,Defender,24,,,,,,20.775623268698062,3.0,1.0,,,,8.01639344262295,87.96875,24,Normal
adamwebster,2020,16,489,2735.0,29,31,5550.0,60,1995-01-04,190.0,75.0,England,Medium/Medium,66.0,70.83333333333333,70.0,Defender,25,2815.0,31.0,90.80645161290325,31.0,31.0,20.775623268698062,3.0,1.0,0.0,489.0,31.0,8.01639344262295,91.16666666666667,25,Normal
ademolalookman,2018,78,105,701.0,21,30,4069.0,70,1997-10-20,174.0,76.6,England,High/Medium,82.6,58.8,69.4,Forward,21,,,,,,25.30056810675122,3.5,2.0,,,,1.4788732394366197,31.863636363636363,21,Overweight
ademolalookman,2020,8,105,2872.0,34,34,4069.0,70,1997-10-20,174.0,76.6,England,High/Medium,82.6,58.8,69.4,Forward,23,701.0,21.0,33.38095238095238,78.0,21.0,25.30056810675122,3.5,2.0,0.0,105.0,78.0,1.4788732394366197,82.05714285714286,23,Overweight
adnanjanuzaj,2016,42,272,1715.0,25,31,1715.0,25,1995-02-05,184.0,75.5,Belgium,Medium/Low,78.66666666666667,54.16666666666666,77.5,Midfielder,21,,,,,,22.30033081285444,2.5,3.0,,,,10.461538461538462,65.96153846153847,21,Normal
adrianmariappa,2016,52,52,596.0,7,17,6575.0,81,1986-10-03,179.2,79.4,Jamaica,Medium/Medium,64.8,71.4,72.8,Defender,30,,,,,,24.725466358418373,3.0,1.0,,,,0.6341463414634146,74.5,30,Normal
